EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,Salary,Bonus,EducationLevel,MaritalStatus,Attrition,PerformanceRating,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,Overtime,TrainingHours,ManagerID,TeamSize,RemoteWork,TravelFrequency,HireDate
1,50,Male,IT,Senior Analyst,128694,1992743,110268,2,Single,Yes,3,13,9,1,4,3,Yes,79,174,10,Yes,Frequently,2011-02-01
2,45,Female,IT,Engineer,66090,629365,64820,4,Single,Yes,3,16,15,4,4,2,No,34,137,4,Yes,Frequently,2008-09-19
3,33,Male,HR,Analyst,110305,1770485,258795,1,Divorced,No,1,19,19,4,2,3,Yes,53,190,13,No,Rarely,2005-08-30
4,49,Male,IT,Coordinator,27747,948143,65725,4,Single,No,5,10,8,1,2,2,Yes,59,163,11,Yes,Frequently,2014-11-24
5,58,Female,R&D,Senior Analyst,28890,1605416,141699,3,Married,Yes,5,17,17,2,2,2,No,64,113,4,No,Occasionally,2007-01-31
6,47,Female,Marketing,Executive,93148,2125665,124243,3,Divorced,No,3,11,8,3,1,4,Yes,64,170,14,No,Occasionally,2013-12-18
7,56,Male,R&D,Team Lead,105077,2170928,200551,4,Divorced,Yes,4,12,9,1,4,4,No,6,105,8,Yes,Occasionally,2012-08-16
8,25,Male,Sales,Senior Analyst,34692,2395505,202283,3,Married,Yes,1,10,9,3,2,3,No,78,161,6,No,Rarely,2014-03-31
9,52,Female,Marketing,Executive,36534,864685,257750,4,Married,Yes,3,6,3,1,2,3,Yes,66,139,7,No,Rarely,2018-04-29
10,39,Male,R&D,Executive,107798,1622905,194776,4,Divorced,No,1,4,1,2,2,4,No,64,140,3,No,Rarely,2020-01-18
11,30,Female,IT,Team Lead,145151,1804384,133767,4,Married,No,2,13,11,3,2,2,Yes,12,134,5,No,Frequently,2011-01-27
12,26,Female,Finance,Engineer,159633,588998,104488,1,Single,No,2,19,16,2,4,1,No,11,172,10,Yes,Rarely,2005-02-03
